,ID,Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date,LongRef,LatRef,Long,Lat,Zip,ZCTA
0,392.0,BRONX,24C,245.0,6/20/2018,24.0,C,40.85170386,73.92559518,10034.0,10034
1,505.0,BRONX,33G,605.0,6/20/2018,33.0,G,40.87318356,73.9102242,10034.0,10034
2,128.0,BRONX,11A,15.0,6/20/2018,11.0,A,40.821266,73.93206982,10039.0,10039
3,214.0,BRONX,15A,175.0,6/20/2018,15.0,A,40.83053565,73.93263964,10039.0,10039
4,374.0,BRONX,23C,80.0,6/20/2018,23.0,C,40.84938645,73.92545273,10040.0,10040
5,173.0,BRONX,13A,15.0,6/20/2018,13.0,A,40.82590083,73.93235473,10451.0,10451
6,103.0,BRONX,10A,30.0,6/20/2018,10.0,A,40.81894859,73.93192737,10451.0,10451
7,108.0,BRONX,10C,40.0,6/20/2018,10.0,C,40.81926009,73.92360084,10451.0,10451
8,39.0,BRONX,6A,90.0,6/20/2018,6.0,A,40.80967894,73.93135756,10451.0,10451
9,133.0,BRONX,11D,95.0,6/20/2018,11.0,D,40.82173325,73.91958003,10451.0,10451
10,67.0,BRONX,8A,160.0,6/20/2018,8.0,A,40.81431377,73.93164247,10451.0,10451
11,174.0,BRONX,13B,165.0,6/20/2018,13.0,B,40.82605658,73.92819146,10451.0,10451
12,131.0,BRONX,11B,200.0,6/20/2018,11.0,B,40.82142175,73.92790656,10451.0,10451
13,82.0,BRONX,9A,260.0,6/20/2018,9.0,A,40.81663118,73.93178492,10451.0,10451
14,177.0,BRONX,13E,305.0,6/20/2018,13.0,E,40.82652382,73.91570167,10451.0,10451
15,175.0,BRONX,13C,327.0,6/20/2018,13.0,C,40.82621232,73.9240282,10451.0,10451
16,70.0,BRONX,8C,345.0,6/20/2018,8.0,C,40.81462526,73.92331593,10451.0,10451
17,154.0,BRONX,12B,365.0,6/20/2018,12.0,B,40.82373916,73.92804901,10451.0,10451
18,53.0,BRONX,7B,396.0,6/20/2018,7.0,B,40.8121521,73.92733675,10451.0,10451
19,135.0,BRONX,11F,425.0,6/20/2018,11.0,F,40.82204474,73.9112535,10451.0,10451
20,132.0,BRONX,11C,430.0,6/20/2018,11.0,C,40.8215775,73.92374329,10451.0,10451
21,157.0,BRONX,12E,485.0,6/20/2018,12.0,E,40.82420641,73.91555922,10451.0,10451
22,151.0,BRONX,12A,490.0,6/20/2018,12.0,A,40.82358341,73.93221228,10451.0,10451
23,197.0,BRONX,14D,550.0,6/20/2018,14.0,D,40.82868548,73.92000739,10451.0,10451
24,69.0,BRONX,8B,555.0,6/20/2018,8.0,B,40.81446951,73.9274792,10451.0,10451
25,134.0,BRONX,11E,555.0,6/20/2018,11.0,E,40.821889,73.91541676,10451.0,10451
26,109.0,BRONX,10D,575.0,6/20/2018,10.0,D,40.81941584,73.91943757,10451.0,10451
27,195.0,BRONX,14B,600.0,6/20/2018,14.0,B,40.82837399,73.92833392,10451.0,10451
28,107.0,BRONX,10B,687.0,6/20/2018,10.0,B,40.81910434,73.92776411,10451.0,10451
29,86.0,BRONX,9D,778.0,6/20/2018,9.0,D,40.81709842,73.91929512,10451.0,10451
30,84.0,BRONX,9B,910.0,6/20/2018,9.0,B,40.81678693,73.92762165,10451.0,10451
31,111.0,BRONX,10F,910.0,6/20/2018,10.0,F,40.81972733,73.91111104,10451.0,10451
32,155.0,BRONX,12C,1075.0,6/20/2018,12.0,C,40.82389491,73.92388575,10451.0,10451
33,156.0,BRONX,12D,1191.0,6/20/2018,12.0,D,40.82405066,73.91972248,10451.0,10451
34,176.0,BRONX,13D,1860.0,6/20/2018,13.0,D,40.82636807,73.91986493,10451.0,10451
35,236.0,BRONX,16A,65.0,6/20/2018,16.0,A,40.83285306,73.93278209,10452.0,10452
36,299.0,BRONX,19B,75.0,6/20/2018,19.0,B,40.83996105,73.92904618,10452.0,10452
37,356.0,BRONX,22C,170.0,6/20/2018,22.0,C,40.84706903,73.92531028,10452.0,10452
38,301.0,BRONX,19D,185.0,6/20/2018,19.0,D,40.84027255,73.92071965,10452.0,10452
39,238.0,BRONX,16C,185.0,6/20/2018,16.0,C,40.83316456,73.92445556,10452.0,10452
40,279.0,BRONX,18C,195.0,6/20/2018,18.0,C,40.83779938,73.92474046,10452.0,10452
41,336.0,BRONX,21D,250.0,6/20/2018,21.0,D,40.84490737,73.92100456,10452.0,10452
42,237.0,BRONX,16B,305.0,6/20/2018,16.0,B,40.83300881,73.92861882,10452.0,10452
43,239.0,BRONX,16D,310.0,6/20/2018,16.0,D,40.83332031,73.92029229,10452.0,10452
44,337.0,BRONX,21E,345.0,6/20/2018,21.0,E,40.84506312,73.91684129,10452.0,10452
45,320.0,BRONX,20D,375.0,6/20/2018,20.0,D,40.84258996,73.92086211,10452.0,10452
46,321.0,BRONX,20E,390.0,6/20/2018,20.0,E,40.84274571,73.91669884,10452.0,10452
47,196.0,BRONX,14C,410.0,6/20/2018,14.0,C,40.82852974,73.92417065,10452.0,10452
48,216.0,BRONX,15C,415.0,6/20/2018,15.0,C,40.83084715,73.92431311,10452.0,10452
49,280.0,BRONX,18D,415.0,6/20/2018,18.0,D,40.83795513,73.9205772,10452.0,10452
50,278.0,BRONX,18B,485.0,6/20/2018,18.0,B,40.83764364,73.92890373,10452.0,10452
51,302.0,BRONX,19E,535.0,6/20/2018,19.0,E,40.84042829,73.91655639,10452.0,10452
52,300.0,BRONX,19C,545.0,6/20/2018,19.0,C,40.8401168,73.92488292,10452.0,10452
53,319.0,BRONX,20C,605.0,6/20/2018,20.0,C,40.84243421,73.92502537,10452.0,10452
54,259.0,BRONX,17C,606.0,6/20/2018,17.0,C,40.83548197,73.92459801,10452.0,10452
55,281.0,BRONX,18E,615.0,6/20/2018,18.0,E,40.83811088,73.91641393,10452.0,10452
56,258.0,BRONX,17B,815.0,6/20/2018,17.0,B,40.83532622,73.92876128,10452.0,10452
57,322.0,BRONX,20F,1045.0,6/20/2018,20.0,F,40.84290145,73.91253557,10452.0,10452
58,260.0,BRONX,17D,1331.0,6/20/2018,17.0,D,40.83563772,73.92043475,10452.0,10452
59,215.0,BRONX,15B,1615.0,6/20/2018,15.0,B,40.8306914,73.92847637,10452.0,10452
60,437.0,BRONX,27F,30.0,6/20/2018,27.0,F,40.85912334,73.91353275,10453.0,10453
61,407.0,BRONX,25D,35.0,6/20/2018,25.0,D,40.85417702,73.92157437,10453.0,10453
62,451.0,BRONX,28F,75.0,6/20/2018,28.0,F,40.86144075,73.9136752,10453.0,10453
63,423.0,BRONX,26E,85.0,6/20/2018,26.0,E,40.85665018,73.91755356,10453.0,10453
64,436.0,BRONX,27E,100.0,6/20/2018,27.0,E,40.85896759,73.91769601,10453.0,10453
65,408.0,BRONX,25E,135.0,6/20/2018,25.0,E,40.85433277,73.91741111,10453.0,10453
66,425.0,BRONX,26G,135.0,6/20/2018,26.0,G,40.85696168,73.90922703,10453.0,10453
67,359.0,BRONX,22F,145.0,6/20/2018,22.0,F,40.84753628,73.91282048,10453.0,10453
68,375.0,BRONX,23D,200.0,6/20/2018,23.0,D,40.84954219,73.92128946,10453.0,10453
69,395.0,BRONX,24F,225.0,6/20/2018,24.0,F,40.8521711,73.91310539,10453.0,10453
70,396.0,BRONX,24G,230.0,6/20/2018,24.0,G,40.85232685,73.90894212,10453.0,10453
71,426.0,BRONX,26H,275.0,6/20/2018,26.0,H,40.85711742,73.90506376,10453.0,10453
72,338.0,BRONX,21F,280.0,6/20/2018,21.0,F,40.84521887,73.91267803,10453.0,10453
73,376.0,BRONX,23E,285.0,6/20/2018,23.0,E,40.84969794,73.9171262,10453.0,10453
74,438.0,BRONX,27G,285.0,6/20/2018,27.0,G,40.85927909,73.90936948,10453.0,10453
75,357.0,BRONX,22D,305.0,6/20/2018,22.0,D,40.84722478,73.92114701,10453.0,10453
76,409.0,BRONX,25F,310.0,6/20/2018,25.0,F,40.85448852,73.91324784,10453.0,10453
77,424.0,BRONX,26F,310.0,6/20/2018,26.0,F,40.85680593,73.91339029,10453.0,10453
78,377.0,BRONX,23F,315.0,6/20/2018,23.0,F,40.84985369,73.91296293,10453.0,10453
79,378.0,BRONX,23G,320.0,6/20/2018,23.0,G,40.85000944,73.90879967,10453.0,10453
80,394.0,BRONX,24E,365.0,6/20/2018,24.0,E,40.85201535,73.91726865,10453.0,10453
81,410.0,BRONX,25G,395.0,6/20/2018,25.0,G,40.85464426,73.90908457,10453.0,10453
82,358.0,BRONX,22E,425.0,6/20/2018,22.0,E,40.84738053,73.91698375,10453.0,10453
83,393.0,BRONX,24D,520.0,6/20/2018,24.0,D,40.85185961,73.92143192,10453.0,10453
84,427.0,BRONX,26I,520.0,6/20/2018,26.0,I,40.85727317,73.9009005,10453.0,10453
85,411.0,BRONX,25H,620.0,6/20/2018,25.0,H,40.85480001,73.90492131,10453.0,10453
86,360.0,BRONX,22G,700.0,6/20/2018,22.0,G,40.84769203,73.90865721,10453.0,10453
87,1.0,BRONX,1E,15.0,6/20/2018,1.0,E,40.79871487,73.91399223,10454.0,10454
88,3.0,BRONX,2D,35.0,6/20/2018,2.0,D,40.80087654,73.91829795,10454.0,10454
89,52.0,BRONX,7A,40.0,6/20/2018,7.0,A,40.81199635,73.93150001,10454.0,10454
90,12.0,BRONX,3G,50.0,6/20/2018,3.0,G,40.80366119,73.90595061,10454.0,10454
91,5.0,BRONX,2F,55.0,6/20/2018,2.0,F,40.80118803,73.90997142,10454.0,10454
92,2.0,BRONX,1F,85.0,6/20/2018,1.0,F,40.79887062,73.90982897,10454.0,10454
93,4.0,BRONX,2E,125.0,6/20/2018,2.0,E,40.80103229,73.91413468,10454.0,10454
94,32.0,BRONX,5G,125.0,6/20/2018,5.0,G,40.80829602,73.90623551,10454.0,10454
95,44.0,BRONX,6F,125.0,6/20/2018,6.0,F,40.81045768,73.91054123,10454.0,10454
96,26.0,BRONX,5A,145.0,6/20/2018,5.0,A,40.80736153,73.93121511,10454.0,10454
97,43.0,BRONX,6E,160.0,6/20/2018,6.0,E,40.81030193,73.9147045,10454.0,10454
98,10.0,BRONX,3E,180.0,6/20/2018,3.0,E,40.8033497,73.91427714,10454.0,10454
99,55.0,BRONX,7D,180.0,6/20/2018,7.0,D,40.8124636,73.91901022,10454.0,10454
100,8.0,BRONX,3C,182.0,6/20/2018,3.0,C,40.8030382,73.92260367,10454.0,10454
101,21.0,BRONX,4F,195.0,6/20/2018,4.0,F,40.80582286,73.91025633,10454.0,10454
102,27.0,BRONX,5B,200.0,6/20/2018,5.0,B,40.80751728,73.92705184,10454.0,10454
103,6.0,BRONX,2G,205.0,6/20/2018,2.0,G,40.80134378,73.90580815,10454.0,10454
104,18.0,BRONX,4C,207.0,6/20/2018,4.0,C,40.80535561,73.92274612,10454.0,10454
105,31.0,BRONX,5F,215.0,6/20/2018,5.0,F,40.80814027,73.91039878,10454.0,10454
106,9.0,BRONX,3D,235.0,6/20/2018,3.0,D,40.80319395,73.9184404,10454.0,10454
107,11.0,BRONX,3F,289.0,6/20/2018,3.0,F,40.80350545,73.91011387,10454.0,10454
108,41.0,BRONX,6C,315.0,6/20/2018,6.0,C,40.80999044,73.92303103,10454.0,10454
109,17.0,BRONX,4B,350.0,6/20/2018,4.0,B,40.80519987,73.92690939,10454.0,10454
110,22.0,BRONX,4G,360.0,6/20/2018,4.0,G,40.80597861,73.90609306,10454.0,10454
111,19.0,BRONX,4D,385.0,6/20/2018,4.0,D,40.80551136,73.91858286,10454.0,10454
112,28.0,BRONX,5C,500.0,6/20/2018,5.0,C,40.80767303,73.92288857,10454.0,10454
113,40.0,BRONX,6B,585.0,6/20/2018,6.0,B,40.80983469,73.92719429,10454.0,10454
114,42.0,BRONX,6D,610.0,6/20/2018,6.0,D,40.81014619,73.91886776,10454.0,10454
115,20.0,BRONX,4E,615.0,6/20/2018,4.0,E,40.80566711,73.91441959,10454.0,10454
116,30.0,BRONX,5E,650.0,6/20/2018,5.0,E,40.80798452,73.91456204,10454.0,10454
117,29.0,BRONX,5D,900.0,6/20/2018,5.0,D,40.80782877,73.91872531,10454.0,10454
118,54.0,BRONX,7C,920.0,6/20/2018,7.0,C,40.81230785,73.92317348,10454.0,10454
119,33.0,BRONX,5H,30.0,6/20/2018,5.0,H,40.80845177,73.90207225,10455.0,10455
120,46.0,BRONX,6H,195.0,6/20/2018,6.0,H,40.81076918,73.9022147,10455.0,10455
121,23.0,BRONX,4H,310.0,6/20/2018,4.0,H,40.80613435,73.90192979,10455.0,10455
122,59.0,BRONX,7H,310.0,6/20/2018,7.0,H,40.81308659,73.90235715,10455.0,10455
123,75.0,BRONX,8H,340.0,6/20/2018,8.0,H,40.815404,73.90249961,10455.0,10455
124,91.0,BRONX,9I,345.0,6/20/2018,9.0,I,40.81787716,73.89847879,10455.0,10455
125,45.0,BRONX,6G,365.0,6/20/2018,6.0,G,40.81061343,73.90637797,10455.0,10455
126,73.0,BRONX,8F,366.0,6/20/2018,8.0,F,40.81509251,73.91082614,10455.0,10455
127,87.0,BRONX,9E,370.0,6/20/2018,9.0,E,40.81725417,73.91513186,10455.0,10455
128,57.0,BRONX,7F,400.0,6/20/2018,7.0,F,40.8127751,73.91068368,10455.0,10455
129,76.0,BRONX,8I,420.0,6/20/2018,8.0,I,40.81555975,73.89833634,10455.0,10455
130,110.0,BRONX,10E,420.0,6/20/2018,10.0,E,40.81957158,73.91527431,10455.0,10455
131,88.0,BRONX,9F,425.0,6/20/2018,9.0,F,40.81740992,73.91096859,10455.0,10455
132,89.0,BRONX,9G,455.0,6/20/2018,9.0,G,40.81756567,73.90680533,10455.0,10455
133,71.0,BRONX,8D,525.0,6/20/2018,8.0,D,40.81478101,73.91915267,10455.0,10455
134,56.0,BRONX,7E,550.0,6/20/2018,7.0,E,40.81261935,73.91484695,10455.0,10455
135,74.0,BRONX,8G,555.0,6/20/2018,8.0,G,40.81524826,73.90666287,10455.0,10455
136,72.0,BRONX,8E,560.0,6/20/2018,8.0,E,40.81493676,73.9149894,10455.0,10455
137,158.0,BRONX,12F,570.0,6/20/2018,12.0,F,40.82436216,73.91139595,10455.0,10455
138,90.0,BRONX,9H,720.0,6/20/2018,9.0,H,40.81772142,73.90264206,10455.0,10455
139,58.0,BRONX,7G,1035.0,6/20/2018,7.0,G,40.81293084,73.90652042,10455.0,10455
140,85.0,BRONX,9C,1735.0,6/20/2018,9.0,C,40.81694267,73.92345839,10455.0,10455
141,112.0,BRONX,10G,90.0,6/20/2018,10.0,G,40.81988308,73.90694778,10456.0,10456
142,160.0,BRONX,12H,135.0,6/20/2018,12.0,H,40.82467365,73.90306942,10456.0,10456
143,244.0,BRONX,16I,190.0,6/20/2018,16.0,I,40.83409905,73.89947597,10456.0,10456
144,202.0,BRONX,14I,195.0,6/20/2018,14.0,I,40.82946423,73.89919106,10456.0,10456
145,199.0,BRONX,14F,215.0,6/20/2018,14.0,F,40.82899698,73.91168086,10456.0,10456
146,241.0,BRONX,16F,232.0,6/20/2018,16.0,F,40.83363181,73.91196576,10456.0,10456
147,201.0,BRONX,14H,240.0,6/20/2018,14.0,H,40.82930848,73.90335432,10456.0,10456
148,178.0,BRONX,13F,255.0,6/20/2018,13.0,F,40.82667957,73.9115384,10456.0,10456
149,200.0,BRONX,14G,280.0,6/20/2018,14.0,G,40.82915273,73.90751759,10456.0,10456
150,263.0,BRONX,17G,295.0,6/20/2018,17.0,G,40.83610497,73.90794495,10456.0,10456
151,282.0,BRONX,18F,320.0,6/20/2018,18.0,F,40.83826663,73.91225067,10456.0,10456
152,264.0,BRONX,17H,335.0,6/20/2018,17.0,H,40.83626071,73.90378168,10456.0,10456
153,218.0,BRONX,15E,360.0,6/20/2018,15.0,E,40.83115864,73.91598657,10456.0,10456
154,261.0,BRONX,17E,363.0,6/20/2018,17.0,E,40.83579347,73.91627148,10456.0,10456
155,198.0,BRONX,14E,390.0,6/20/2018,14.0,E,40.82884123,73.91584412,10456.0,10456
156,262.0,BRONX,17F,409.0,6/20/2018,17.0,F,40.83594922,73.91210822,10456.0,10456
157,136.0,BRONX,11G,410.0,6/20/2018,11.0,G,40.82220049,73.90709023,10456.0,10456
158,283.0,BRONX,18G,420.0,6/20/2018,18.0,G,40.83842238,73.9080874,10456.0,10456
159,222.0,BRONX,15I,440.0,6/20/2018,15.0,I,40.83178164,73.89933351,10456.0,10456
160,240.0,BRONX,16E,450.0,6/20/2018,16.0,E,40.83347606,73.91612903,10456.0,10456
161,179.0,BRONX,13G,490.0,6/20/2018,13.0,G,40.82683532,73.90737514,10456.0,10456
162,137.0,BRONX,11H,500.0,6/20/2018,11.0,H,40.82235624,73.90292697,10456.0,10456
163,220.0,BRONX,15G,580.0,6/20/2018,15.0,G,40.83147014,73.90766004,10456.0,10456
164,159.0,BRONX,12G,630.0,6/20/2018,12.0,G,40.8245179,73.90723268,10456.0,10456
165,180.0,BRONX,13H,635.0,6/20/2018,13.0,H,40.82699107,73.90321187,10456.0,10456
166,242.0,BRONX,16G,670.0,6/20/2018,16.0,G,40.83378755,73.9078025,10456.0,10456
167,243.0,BRONX,16H,820.0,6/20/2018,16.0,H,40.8339433,73.90363923,10456.0,10456
168,221.0,BRONX,15H,960.0,6/20/2018,15.0,H,40.83162589,73.90349678,10456.0,10456
169,217.0,BRONX,15D,975.0,6/20/2018,15.0,D,40.8310029,73.92014984,10456.0,10456
170,219.0,BRONX,15F,1010.0,6/20/2018,15.0,F,40.83131439,73.91182331,10456.0,10456
171,326.0,BRONX,20J,30.0,6/20/2018,20.0,J,40.84352445,73.89588251,10457.0,10457
172,265.0,BRONX,17I,115.0,6/20/2018,17.0,I,40.83641646,73.89961842,10457.0,10457
173,341.0,BRONX,21I,145.0,6/20/2018,21.0,I,40.84568611,73.90018823,10457.0,10457
174,364.0,BRONX,22L,170.0,6/20/2018,22.0,L,40.84847077,73.88784089,10457.0,10457
175,361.0,BRONX,22H,175.0,6/20/2018,22.0,H,40.84784778,73.90449395,10457.0,10457
176,362.0,BRONX,22I,175.0,6/20/2018,22.0,I,40.84800352,73.90033068,10457.0,10457
177,363.0,BRONX,22J,175.0,6/20/2018,22.0,J,40.84815927,73.89616742,10457.0,10457
178,381.0,BRONX,23J,210.0,6/20/2018,23.0,J,40.85047668,73.89630987,10457.0,10457
179,340.0,BRONX,21H,230.0,6/20/2018,21.0,H,40.84553036,73.9043515,10457.0,10457
180,285.0,BRONX,18I,235.0,6/20/2018,18.0,I,40.83873387,73.89976087,10457.0,10457
181,323.0,BRONX,20G,240.0,6/20/2018,20.0,G,40.8430572,73.90837231,10457.0,10457
182,324.0,BRONX,20H,250.0,6/20/2018,20.0,H,40.84321295,73.90420904,10457.0,10457
183,339.0,BRONX,21G,255.0,6/20/2018,21.0,G,40.84537461,73.90851476,10457.0,10457
184,382.0,BRONX,23K,260.0,6/20/2018,23.0,K,40.85063243,73.89214661,10457.0,10457
185,383.0,BRONX,23L,260.0,6/20/2018,23.0,L,40.85078818,73.88798334,10457.0,10457
186,342.0,BRONX,21J,265.0,6/20/2018,21.0,J,40.84584186,73.89602497,10457.0,10457
187,413.0,BRONX,25J,270.0,6/20/2018,25.0,J,40.85511151,73.89659478,10457.0,10457
188,397.0,BRONX,24H,295.0,6/20/2018,24.0,H,40.8524826,73.90477886,10457.0,10457
189,380.0,BRONX,23I,300.0,6/20/2018,23.0,I,40.85032094,73.90047314,10457.0,10457
190,379.0,BRONX,23H,315.0,6/20/2018,23.0,H,40.85016519,73.9046364,10457.0,10457
191,325.0,BRONX,20I,322.0,6/20/2018,20.0,I,40.8433687,73.90004578,10457.0,10457
192,412.0,BRONX,25I,325.0,6/20/2018,25.0,I,40.85495576,73.90075804,10457.0,10457
193,303.0,BRONX,19F,376.0,6/20/2018,19.0,F,40.84058404,73.91239312,10457.0,10457
194,304.0,BRONX,19H,405.0,6/20/2018,19.0,H,40.84089554,73.90406659,10457.0,10457
195,284.0,BRONX,18H,435.0,6/20/2018,18.0,H,40.83857813,73.90392414,10457.0,10457
196,327.0,BRONX,20K,475.0,6/20/2018,20.0,K,40.8436802,73.89171925,10457.0,10457
197,398.0,BRONX,24I,510.0,6/20/2018,24.0,I,40.85263835,73.90061559,10457.0,10457
198,399.0,BRONX,24K,530.0,6/20/2018,24.0,K,40.85294984,73.89228906,10457.0,10457
199,305.0,BRONX,19I,560.0,6/20/2018,19.0,I,40.84105129,73.89990332,10457.0,10457
200,343.0,BRONX,21K,570.0,6/20/2018,21.0,K,40.84599761,73.8918617,10457.0,10457
201,344.0,BRONX,21L,915.0,6/20/2018,21.0,L,40.84615336,73.88769843,10457.0,10457
202,418.0,BRONX,25P,30.0,6/20/2018,25.0,P,40.856046,73.87161518,10458.0,10458
203,417.0,BRONX,25N,80.0,6/20/2018,25.0,N,40.8557345,73.87994172,10458.0,10458
204,431.0,BRONX,26M,110.0,6/20/2018,26.0,M,40.85789617,73.88424743,10458.0,10458
205,540.0,BRONX,35M,170.0,6/20/2018,35.0,M,40.87875288,73.88552951,10458.0,10458
206,476.0,BRONX,30M,175.0,6/20/2018,30.0,M,40.86716581,73.88481725,10458.0,10458
